date,host,error_type,error_message,solution_applied,resolution_time_minutes,prevented_future
2024-11-25,ganoslal,opencode-config-error,"Unrecognized key: agents","Moved agents config from settings to top-level programs.opencode.agents",20,true
2024-11-25,ganoslal,config-schema-error,"Invalid agent configuration format","Added YAML frontmatter to scotty-additional-personality.md",15,true
2025-12-08,nixos,build-failure,nixos-rebuild-wsl@merlins-windows ,Manual intervention required,0,false
2025-12-08,merlin,build-failure,nixos-rebuild-merlin Dec 08 19:39:31 merlin tailscaled-autoconnect-start[15810]:         tailscale up --auth-key=[REDACTED-TAILSCALE-KEY] --operator=gig --ssh --accept-routes Dec 08 19:39:31 merlin systemd[1]: tailscaled-autoconnect.service: Main process exited; code=exited; status=1/FAILURE Dec 08 19:39:31 merlin systemd[1]: tailscaled-autoconnect.service: Failed with result 'exit-code'. Dec 08 19:39:31 merlin systemd[1]: Failed to start tailscaled-autoconnect.service. Command 'systemd-run -E LOCALE_ARCHIVE -E NIXOS_INSTALL_BOOTLOADER --collect --no-ask-password --pipe --quiet --service-type=exec --unit=nixos-rebuild-switch-to-configuration /nix/store/3jrg3w8cfvz6qsd36kzh74sn7v73fbzj-nixos-system-merlin-25.11.20251122.050e09e/bin/switch-to-configuration switch' returned non-zero exit status 4. ,Manual intervention required,0,false
2025-12-12,nixos,build-failure,unpacking 'github:nix-community/nixos-vscode-server/6d5f074e4811d143d44169ba4af09b20ddb6937d?narHash=sha256-foGgZu8%2BbCNIGeuDqQ84jNbmKZpd%2BJvnrL2WlyU4tuU%3D' into the Git cache... unpacking 'github:nix-community/NixOS-WSL/59bf0375c5db92ef19456e7a659b627adb675fe2?narHash=sha256-%2BSqngIVSellamVTFUnSVn%2BtGEGJZ4OSmbQvd7MxpGwQ%3D' into the Git cache... unpacking 'github:mic92/sops-nix/c482a1c1bbe030be6688ed7dc84f7213f304f1ec?narHash=sha256-1m84V2ROwNEbqeS9t37/mkry23GBhfMt8qb6aHHmjuc%3D' into the Git cache... building the system configuration... copying path '/nix/store/cjjpqrp9xy44j5fjh3mygyxy3i7mslj2-source' from 'https://cache.nixos.org'... ,Manual intervention required,0,false
2025-12-12,nixos,build-failure,warning: Git tree '/home/gig/.dotfiles' is dirty building the system configuration... warning: Git tree '/home/gig/.dotfiles' is dirty ,Manual intervention required,0,false
2025-12-16,nixos,build-failure,Failed to reload home-gig-mnt-utility.automount: Job type reload is not applicable for unit home-gig-mnt-utility.automount. Failed to reload home-gig-mnt-virtualization\x2dboot\x2dfiles.automount: Job type reload is not applicable for unit home-gig-mnt-virtualization\x2dboot\x2dfiles.automount. Failed to reload home-gig-mnt-vulcan.automount: Job type reload is not applicable for unit home-gig-mnt-vulcan.automount. the following new units were started: sysinit-reactivation.target; systemd-tmpfiles-resetup.service Command 'systemd-run -E LOCALE_ARCHIVE -E NIXOS_INSTALL_BOOTLOADER --collect --no-ask-password --pipe --quiet --service-type=exec --unit=nixos-rebuild-switch-to-configuration /nix/store/xfqk418bz8xyl2d0x7v8nhdcn874wcpp-nixos-system-nixos-25.11.20251122.050e09e/bin/switch-to-configuration switch' returned non-zero exit status 4. ,Manual intervention required,0,false
2025-12-09,merlin,nix-store-cache-corruption,"path '/nix/store/c2wjc16mn0x2svjhzw06sai476p3y5hf-source/hosts/common/optional/power-management.nix' does not exist","Garbage collection + fresh flake evaluation required",TBD,true
2025-12-14,dependency,flake,pre-commit-hooks rumdl package error,15min,resolved
2025-12-12,nixos,build-failure,unpacking 'github:nix-community/nixos-vscode-server/6d5f074e4811d143d44169ba4af09b20ddb6937d?narHash=sha256-foGgZu8%2BbCNIGeuDqQ84jNbmKZpd%2BJvnrL2WlyU4tuU%3D' into the Git cache... unpacking 'github:nix-community/nixos-vscode-server/6d5f074e4811d143d44169ba4af09b20ddb6937d?narHash=sha256-foGgZu8%2BbCNIGeuDqQ84jNbmKZpd%2BJvnrL2WlyU4tuU%3D' into the Git cache... unpacking 'github:nix-community/NixOS-WSL/59bf0375c5db92ef19456e7a659b627adb675fe2?narHash=sha256-%2BSqngIVSellamVTFUnSVn%2BtGEGJZ4OSmbQvd7MxpGwQ%3D' into the Git cache... unpacking 'github:mic92/sops-nix/c482a1c1bbe030be6688ed7dc84f7213f304f1ec?narHash=sha256-1m84V2ROwNEbqeS9t37/mkry23GBhfMt8qb6aHHmjuc%3D' into the Git cache... building the system configuration... copying path '/nix/store/cjjpqrp9xy44j5fjh3mygyxy3i7mslj2-source' from 'https://cache.nixos.org'... ,Manual intervention required,0,false
2025-12-12,nixos,build-failure,warning: Git tree '/home/gig/.dotfiles' is dirty building the system configuration... warning: Git tree '/home/gig/.dotfiles' is dirty ,Manual intervention required,0,false
2025-12-14,merlin,build-failure,nixos-rebuild-merlin     raise CalledProcessError(retcode; process.args;                              output=stdout; stderr=stderr) subprocess.CalledProcessError: Command '['/nix/store/zf8qy81dsw1vqwgh9p9n2h40s1k0g2l1-systemd-258.2/bin/bootctl'; '--esp-path=/boot'; 'status']' died with <Signals.SIGABRT: 6>. Failed to install bootloader Command 'systemd-run -E LOCALE_ARCHIVE -E NIXOS_INSTALL_BOOTLOADER --collect --no-ask-password --pipe --quiet --service-type=exec --unit=nixos-rebuild-switch-to-configuration /nix/store/yily8nr30y1r4sz8wqwjc9li8k6wjmkb-nixos-system-merlin-25.11.20251206.d9bc5c7/bin/switch-to-configuration switch' returned non-zero exit status 1. ,Manual intervention required,0,false
2025-12-14,merlin,build-failure,nixos-rebuild-merlin     raise CalledProcessError(retcode; process.args;                              output=stdout; stderr=stderr) subprocess.CalledProcessError: Command '['/nix/store/zf8qy81dsw1vqwgh9p9n2h40s1k0g2l1-systemd-258.2/bin/bootctl'; '--esp-path=/boot'; 'status']' died with <Signals.SIGABRT: 6>. Failed to install bootloader Command 'systemd-run -E LOCALE_ARCHIVE -E NIXOS_INSTALL_BOOTLOADER --collect --no-ask-password --pipe --quiet --service-type=exec --unit=nixos-rebuild-switch-to-configuration /nix/store/fx55yrsyyx71ya7m5f3q65nfvssrq2ls-nixos-system-merlin-25.11.20251209.09eb77e/bin/switch-to-configuration switch' returned non-zero exit status 1. ,Manual intervention required,0,false
2025-12-23,merlin,build-failure,nixos-rebuild-merlin error: Cannot build '/nix/store/jrhs9zi6v5h2zk42bwvirfm0xp0zrzmv-nixos-system-merlin-25.11.20251206.d9bc5c7.drv'.        Reason: 1 dependency failed.        Output paths:          /nix/store/iscqas274916bfi0695sa1maaq04xjvr-nixos-system-merlin-25.11.20251206.d9bc5c7 Command 'nix --extra-experimental-features 'nix-command flakes' build --print-out-paths '.#nixosConfigurations."merlin".config.system.build.toplevel' --no-link' returned non-zero exit status 1. ,Manual intervention required,0,false
2026-01-28,merlin,build-failure,nixos-rebuild-merlin Jan 28 01:22:18 merlin tailscaled-autoconnect-start[12685]:         tailscale up --auth-key=[REDACTED-TAILSCALE-KEY-2026-01-28] --operator=gig --ssh --accept-routes Jan 28 01:22:18 merlin systemd[1]: tailscaled-autoconnect.service: Main process exited; code=exited; status=1/FAILURE Jan 28 01:22:18 merlin systemd[1]: tailscaled-autoconnect.service: Failed with result 'exit-code'. Jan 28 01:22:18 merlin systemd[1]: Failed to start tailscaled-autoconnect.service. Command 'systemd-run -E LOCALE_ARCHIVE -E NIXOS_INSTALL_BOOTLOADER --collect --no-ask-password --pipe --quiet --service-type=exec --unit=nixos-rebuild-switch-to-configuration /nix/store/12j8z0q7fpz3anbza6s07ngp5rbw03dc-nixos-system-merlin-25.11.20251223.76701a1/bin/switch-to-configuration switch' returned non-zero exit status 4. ,Manual intervention required,0,false
2026-01-28,merlin,build-failure,nixos-rebuild-merlin Jan 28 01:38:51 merlin tailscaled-autoconnect-start[20250]:         tailscale up --auth-key=[REDACTED-TAILSCALE-KEY-2026-01-28] --operator=gig --ssh --accept-routes Jan 28 01:38:51 merlin systemd[1]: tailscaled-autoconnect.service: Main process exited; code=exited; status=1/FAILURE Jan 28 01:38:51 merlin systemd[1]: tailscaled-autoconnect.service: Failed with result 'exit-code'. Jan 28 01:38:51 merlin systemd[1]: Failed to start tailscaled-autoconnect.service. Command 'systemd-run -E LOCALE_ARCHIVE -E NIXOS_INSTALL_BOOTLOADER --collect --no-ask-password --pipe --quiet --service-type=exec --unit=nixos-rebuild-switch-to-configuration /nix/store/6wpwn3by79wwva7rfk976yd47cxhnjwn-nixos-system-merlin-25.11.20251223.76701a1/bin/switch-to-configuration switch' returned non-zero exit status 4. ,Manual intervention required,0,false
2026-01-28,merlin,build-failure,nixos-rebuild-merlin Jan 28 01:46:42 merlin tailscaled-autoconnect-start[25514]:         tailscale up --auth-key=[REDACTED-TAILSCALE-KEY-2026-01-28] --operator=gig --ssh --accept-routes Jan 28 01:46:42 merlin systemd[1]: tailscaled-autoconnect.service: Main process exited; code=exited; status=1/FAILURE Jan 28 01:46:42 merlin systemd[1]: tailscaled-autoconnect.service: Failed with result 'exit-code'. Jan 28 01:46:42 merlin systemd[1]: Failed to start tailscaled-autoconnect.service. Command 'systemd-run -E LOCALE_ARCHIVE -E NIXOS_INSTALL_BOOTLOADER --collect --no-ask-password --pipe --quiet --service-type=exec --unit=nixos-rebuild-switch-to-configuration /nix/store/6wpwn3by79wwva7rfk976yd47cxhnjwn-nixos-system-merlin-25.11.20251223.76701a1/bin/switch-to-configuration switch' returned non-zero exit status 4. ,Manual intervention required,0,false
2026-01-28,merlin,build-failure,nixos-rebuild-merlin Jan 28 08:03:25 merlin systemd[1]: refresh-nps-cache.service: Main process exited; code=exited; status=1/FAILURE Jan 28 08:03:25 merlin systemd[1]: refresh-nps-cache.service: Failed with result 'exit-code'. Jan 28 08:03:25 merlin systemd[1]: Failed to start refresh-nps-cache.service. Jan 28 08:03:25 merlin systemd[1]: refresh-nps-cache.service: Consumed 61ms CPU time; 12.4M memory peak; 2.4M read from disk. Command 'systemd-run -E LOCALE_ARCHIVE -E NIXOS_INSTALL_BOOTLOADER --collect --no-ask-password --pipe --quiet --service-type=exec --unit=nixos-rebuild-switch-to-configuration /nix/store/lkmahxgqldcksiiz9cq8dfd5i743r9c9-nixos-system-merlin-25.11.20251223.76701a1/bin/switch-to-configuration switch' returned non-zero exit status 4. ,Manual intervention required,0,false
